1,San Francisco Bay OneCup,Coffee & Tea,29.00,1500
2,Water Infuser Pitcher For Tea,Iced Tea Pitchers,21.95,2233
3,Cuisinart DCC-3750 Elite,Coffee Makers,109.99,504
4,Cha4TEA,Coffee & Tea,10.47,3
5,Pure Copper Pitcher,Iced Tea Pitchers,24.99,442
6,Barsetto Portable Espresso Coffee ,Coffee Makers,74.90,200
7,OXO ON Coffee Scoop,Coffee Scoops,3.99,113
8,Ekco Coffee Scoop,Coffee Scoops,4.14,334
9,Dunkin Donuts Original Flavor Coffee,Coffee & Tea,22.14,403
10,Hiware 69 Ounces Glass Pitcher,Iced Tea Pitchers,22.99,238
